pole_id,latitude,longitude,desc_addr,luminaire,pole_construction,arm_length,pole_use,cmo_obj_id,led_project,led_status,led_type
12L100,37.3339772,-121.8910137,S MARKET ST 95,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1209,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L1006,37.33857184,-121.894522,N MARKET ST 201,S4H-250,STEEL,8 FT,ST LIGHT ONLY,1210,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L1007,37.33875903,-121.8946447,N MARKET ST 225,S4H-400,UNKNOWN,OTHER,ST LIGHT ONLY,1211,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L1017,37.33919102,-121.8996209,BASSETT ST 275 OPP,S-L-180,UNKNOWN,8 FT,UNKNOWN,1212,Bassett St Development,Planned,GCAD1-80C-MV-NW-3M-GY-SDCM1
11L1018,37.33895922,-121.9000696,BASSETT ST 275 OPP 100' WO,S-L-180,GALVANIZED,8 FT,UNKNOWN,1213,Bassett St Development,Planned,GCAD1-80C-MV-NW-3M-GY-SDCM1
12L102,37.33370969,-121.8908706,S MARKET ST 95,S4H-400,STEEL,8 FT,ST LIGHT & SIGNAL,1214,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L104,37.3334507,-121.8907132,S MARKET ST & W SAN FERNANDO ST SWC,S4H-400,STEEL,10 FT OR 12 FT,ST LIGHT & SIGNAL,1215,Cahil to 10th,Completed,EC9-30M-MV-NW-3-GY-LUCO-PD-WL @ 700mA
11L106,37.33326361,-121.8906013,S MARKET ST WS 50' SO W SAN FERNANDO ST,S4H-400,STEEL,OTHER,ST LIGHT ONLY,1216,Smart Pole Phase 1,Planned,
11L1070,37.33500345,-121.8867029,S 3RD ST ES 150' SO E SAN FERNANDO ST,S4H-250,STEEL,8 FT,ST LIGHT ONLY,1217,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L1071,37.33467203,-121.8864342,S 3RD ST 130,S4H-250,UNKNOWN,OTHER,ST LIGHT ONLY,1218,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L1076,37.33550598,-121.8950508,CARLYSLE ST NS 100' EO NOTRE DAME AVE,S4H-250,STEEL,8 FT,ST LIGHT ONLY,1219,Almaden Ave and Carlysle St Development,Planned,
11L1078,37.33476275,-121.8939721,S ALMADEN AVE WS 20' NO W SANTA CLARA ST,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1220,Smart Pole,Planned,
11L1143,37.33702924,-121.8933708,N MARKET ST & W ST JOHN ST SWC,S-V-400,STEEL,8 FT,ST LIGHT ONLY,1221,Smart Pole Phase 2,Planned,RFL-241W112LED4K-T-R3M
11L1143Y,37.33724818,-121.8935253,W ST JOHN ST & N MARKET ST WS MEDIAN,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1222,Smart Pole Phase 2,Planned,RFL-241W112LED4K-T-R3M
11L1144,37.33729547,-121.8932227,N MARKET ST & W ST JOHN ST NEC,S4H-400,STEEL,10 FT OR 12 FT,UNKNOWN,1223,Smart Pole Phase 2,Planned,RFL-241W112LED4K-T-R3M
11L1145,37.33702564,-121.8930339,W ST JOHN ST & S MARKET ST SEC,S4H-400,STEEL,13 FT,ST LIGHT ONLY,1224,Smart Pole Phase 2,Planned,RFL-241W112LED4K-T-R3M
11L116,37.33593681,-121.8963616,W ST JOHN ST SS 150' WO NOTRE DAME AVE,S4H-310,STEEL,OTHER,ST LIGHT ONLY,1225,St John Multimodal Improvements,Planned,
11L121,37.33619672,-121.8958262,W ST JOHN ST SS 15' EO NOTRE DAME AVE,S4H-310,STEEL,OTHER,ST LIGHT ONLY,1226,Almaden Ave and Carlysle St Development,Planned,
11L1250,37.33500179,-121.8869599,1ST SL S/O SAN FERNANDO ST W/S OF 3RD ST,S4H-250, ,OTHER,ST LIGHT ONLY,1227,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L132,37.33585554,-121.8957087,NOTRE DAME ST 99 OPP,S4H-310,STEEL,OTHER,ST LIGHT ONLY,1228,Almaden Ave and Carlysle St Development,Planned,
11L138,37.33599544,-121.8949764,TERRAINE ST WS 150' NO CARLYSLE ST,S4H-400,STEEL,8 FT,UNKNOWN,1229,Almaden Ave and Carlysle St Development,Planned,
11L151,37.33973803,-121.8954123,N MARKET ST & W JULIAN ST SWC,S4H-400,UNKNOWN,10 FT OR 12 FT,ST LIGHT ONLY,1230,Smart Pole,Planned,
11L152,37.33982761,-121.8955077,W JULIAN ST & N MARKET ST NWC ISLAND,S4H-400,STEEL,OTHER,UNKNOWN,1231,Smart Pole,Planned,
11L184,37.33439914,-121.8863046,S 3RD ST 118,S4H-310,STEEL,8 FT,ST LIGHT ONLY,1232,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L185,37.33422193,-121.8861704,S 3RD ST 144 100' NO,S4H-310,STEEL,8 FT,ST LIGHT ONLY,1233,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L186,37.33389201,-121.8859283,S 3RD ST 144,S4H-310,STEEL,OTHER,ST LIGHT ONLY,1234,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L188,37.33448271,-121.8865817,S 3RD ST 130 OPP,S4H-250,UNKNOWN,OTHER,ST LIGHT ONLY,1235,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L189,37.33434142,-121.8864705,S 3RD ST 116 OPP,S4H-250,GALVANIZED,8 FT,ST LIGHT ONLY,1236,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L189Y,37.33414309,-121.8863518,S 3RD ST 144 OPP 100' NO,S4H-250,UNKNOWN,OTHER,UNKNOWN,1237,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L190,37.33384186,-121.8860773,S 3RD ST 144 OPP,S4H-250,STEEL,OTHER,UNKNOWN,1238,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L229,37.33587231,-121.8922186,N MARKET ST 10,S4H-400,STEEL,OTHER,ST LIGHT ONLY,1239,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L230,37.33587373,-121.8924481,N MARKET ST 15,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1240,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L231,37.3362008,-121.8924539,N MARKET ST 40,S4H-400,STEEL,8 FT,UNKNOWN,1241,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L232,37.33611597,-121.8926452,N MARKET ST WS 300' NO W SANTA CLARA ST,S4H-400,UNKNOWN,OTHER,ST LIGHT ONLY,1242,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L233,37.33639098,-121.892598,N MARKET ST 64,S4H-400,STEEL,OTHER,UNKNOWN,1243,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L234,37.3363603,-121.8928359,N MARKET ST WS 400' SO W ST JOHN ST,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1244,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L235,37.33667308,-121.8927694,MARKET 82,S4H-400,STEEL,OTHER,ST LIGHT ONLY,1245,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L236,37.33659949,-121.8930151,N MARKET ST WS 175' SO W ST JOHN ST,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1246,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L237,37.33693539,-121.8929735,N MARKET ST ES 100' SO E ST JOHN ST,S4H-400,UNKNOWN,8 FT,ST LIGHT ONLY,1247,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L238,37.33689082,-121.8932582,N MARKET ST WS 75' SO W ST JOHN ST,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1248,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L243,37.33754921,-121.8934269,N MARKET ST ES 150' NO W ST JOHN ST,S4H-400,STEEL,8 FT,UNKNOWN,1249,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L244,37.33734861,-121.8935561,N MARKET ST & W ST JOHN ST NWC,S4H-400,STEEL,OTHER,ST LIGHT ONLY,1250,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L245,37.33781971,-121.8935913,N MARKET ST ES 111 OPP,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1251,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L246,37.33776353,-121.8938583,N MARKET ST WS 200' NO W ST JOHN ST,S4H-400,STEEL,OTHER,UNKNOWN,1252,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L247,37.33807661,-121.8938241,N MARKET ST 190,S4H-400,STEEL,8 FT,UNKNOWN,1253,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L248,37.33800357,-121.8940429,N MARKET ST 111,S4H-400,STEEL,OTHER,UNKNOWN,1254,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L249,37.33834723,-121.8939921,N MARKET ST & W ST JAMES ST SEC,S4H-400,STEEL,OTHER,UNKNOWN,1255,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L250,37.33824933,-121.8943081,N MARKET ST & W ST JAMES ST SWC,S4H-400,STEEL,OTHER,ST LIGHT ONLY,1256,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L251,37.33851486,-121.8941726,N MARKET ST & W ST JAMES ST NEC,S4H-400,UNKNOWN,8 FT,ST LIGHT ONLY,1257,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L252,37.33839049,-121.8944064,N MARKET ST & W ST JAMES ST NWC,S4H-400,UNKNOWN,8 FT,ST LIGHT ONLY,1258,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L253,37.33874265,-121.8943484,MARKET ST,S4H-400,STEEL,8 FT,UNKNOWN,1259,Smart Pole,Planned,
11L255,37.33908652,-121.8945418,N MARKET ST & DEVINE ST SWC,S4H-400,STEEL,OTHER,UNKNOWN,1260,Smart Pole,Planned,
11L256,37.33898103,-121.8948278,N MARKET ST & DEVINE ST SWC,S4H-400,STEEL,OTHER,ST LIGHT ONLY,1261,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L257,37.3392595,-121.8946782,N MARKET ST & DEVINE ST NEC,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1262,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L258,37.33916079,-121.8949274,N MARKET ST & DEVINE ST NWC,S4H-400,STEEL,OTHER,ST LIGHT ONLY,1263,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L259,37.33954896,-121.894885,N MARKET ST 50' SO E JULIAN ST,S4H-400,STEEL,8 FT,UNKNOWN,1264,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L260,37.33950476,-121.8951319,N MARKET ST WS 150' SO W JULIAN ST,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1265,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L264,37.33743831,-121.8885961,N 3RD ST 30,S4H-250,STEEL,8 FT,ST LIGHT ONLY,1266,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L265,37.33739613,-121.8887507,N 3RD ST 30 OPP,S4H-250,STEEL,8 FT,ST LIGHT ONLY,1267,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L266,37.33792794,-121.8889339,N 3RD ST 60,S4H-250,UNKNOWN,OTHER,ST LIGHT ONLY,1268,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L267,37.33788261,-121.88906,N 3RD ST 60 OPP,S4H-250,UNKNOWN,OTHER,UNKNOWN,1269,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L268,37.33827431,-121.8891534,N 3RD ST ES 100' SO E ST JOHN ST,S4H-250,STEEL,OTHER,UNKNOWN,1270,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L269,37.33822899,-121.8892795,N 3RD ST WS 100' SO E ST JOHN ST,S4H-400,UNKNOWN,OTHER,UNKNOWN,1271,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L270,37.33855153,-121.889351,N 3RD ST ES 50' SO E ST JOHN ST,S4H-250,STEEL,8 FT,ST LIGHT ONLY,1272,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L271,37.33847064,-121.889491,N 3RD ST WS 25' SO E ST JOHN ST,S4H-250,STEEL,8 FT,ST LIGHT ONLY,1273,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L285,37.33727536,-121.8938151,W ST JOHN ST 111,S4H-310,UNKNOWN,OTHER,ST LIGHT ONLY,1274,St John Multimodal Improvements,Planned,
11L287,37.33709126,-121.8942391,N SAN PEDRO ST & W ST JAMES ST NEC,S4H-310,STEEL,8 FT,UNKNOWN,1275,St John Multimodal Improvements,Planned,
11L342,37.33445679,-121.8946044,NOTRE DAME AVE ES 20'NO W SANTA CLARA ST,S4H-100,UNKNOWN,OTHER,ST LIGHT ONLY,1276,Smart Pole,Planned,
11L348,37.33724731,-121.8929408,W ST JOHN ST 50' EO N MARKET ST,S4H-400,UNKNOWN,8 FT,ST LIGHT ONLY,1277,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L1145,37.3370952,-121.8935035,W ST JOHN ST & N MARKET ST SWC,S-V-400,STEEL,30 INCHES,ST LIGHT ONLY,1278,Smart Pole Phase 2,Planned,RFL-241W112LED4K-T-R3M
11L397,37.33839077,-121.8940213,W ST JAMES ST & N MARKET ST SEC,S4H-400,UNKNOWN,6 FT,ST LIGHT ONLY,1279,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L402,37.33698501,-121.8944625,W ST JOHN ST & N SAN PEDRO ST NWC,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1280,St John Multimodal Improvements,Planned,
11M985,37.3370812,-121.886842,S 4TH ST ES 350' SO E SANTA CLARA ST,S4H-150,UNKNOWN,OTHER,UNKNOWN,1281,Smart Pole,Planned,
11M822,37.33685538,-121.8868969,S 4TH ST WS 400' SO E SANTA CLARA ST,S4H-150,UNKNOWN,6 FT,UNKNOWN,1282,Smart Pole,Planned,
11M405,37.33680393,-121.8866205,S 4TH ST ES 450' SO E SANTA CLARA ST,S4H-150,STEEL,OTHER,UNKNOWN,1283,Smart Pole,Planned,
11M406,37.33663083,-121.8867121,S 4TH ST WS 500' SO E SANTA CLARA ST,S4H-150,STEEL,6 FT,ST LIGHT ONLY,1284,Smart Pole,Planned,
11M407,37.3365836,-121.8864529,S 4TH ST ES 600' SO E SANTA CLARA ST,S4H-150,UNKNOWN,6 FT,UNKNOWN,1285,Smart Pole,Planned,
11M408,37.33640162,-121.8865201,S 4TH ST WS 250' NO E SAN FERNANDO ST,S4H-150,UNKNOWN,6 FT,UNKNOWN,1286,Smart Pole,Planned,
11M411,37.33598157,-121.8860374,S 4TH ST & E SAN FERNANDO ST NEC,S4H-150,STEEL,6 FT,ST LIGHT ONLY,1287,Cahil to 10th,Completed,EC9-30M-MV-NW-3-GY-LUCO-PD-WL @ 700mA
11M409,37.3363201,-121.8862672,S 4TH ST ES 150' E SAN FERNANDO ST,S4H-150,UNKNOWN,6 FT,UNKNOWN,1288,Smart Pole,Planned,
12L448,37.33361521,-121.8908685,W SAN FERNANDO ST & S MARKET ST NWC,S4H-400,STEEL,OTHER,ST LIGHT & SIGNAL,1289,Cahil to 10th,Completed,EC9-30M-MV-NW-3-GY-LUCO-PD-WL @ 700mA
11L627,37.33896138,-121.8882575,N 4TH ST 77 OPP,S4H-310,UNKNOWN,OTHER,ST LIGHT ONLY,1290,Smart Pole,Planned,
11L628,37.33873043,-121.8882942,N 4TH ST 77,S4H-310,STEEL,8 FT,UNKNOWN,1291,Smart Pole,Planned,
11L629,37.33859835,-121.8879542,N 4TH ST 50,S4H-200,UNKNOWN,8 FT,ST LIGHT ONLY,1292,Smart Pole,Planned,
11L630,37.33837533,-121.8880382,N 4TH ST 50 OPP,S4H-310,STEEL,8 FT,ST LIGHT ONLY,1293,Smart Pole,Planned,
11L631,37.33814828,-121.8876548,N 4TH ST 100' NO E SANTA CLARA ST,S4H-400,UNKNOWN,8 FT,ST LIGHT ONLY,1294,Smart Pole,Planned,
11L632,37.33782535,-121.8876474,N 4TH ST WS 50' NO E SANTA CLARA ST,S4H-310,UNKNOWN,OTHER,ST LIGHT ONLY,1295,Smart Pole,Planned,
11L656,37.33563574,-121.8966886,N ALMADEN BLVD ES 25' SO W ST JOHN ST,S4H-310,STEEL,8 FT,ST LIGHT ONLY,1296,St John Multimodal Improvements,Planned,
11L67,37.33511622,-121.891936,N MARKET ST WS 100' SO W SANTA CLARA ST,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1297,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L68,37.33483085,-121.8917143,S MARKET ST 33,S4H-400,STEEL,OTHER,ST LIGHT ONLY,1298,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L69,37.33463178,-121.8915452,S MARKET ST WS 20' NO POST ST,S4H-400,UNKNOWN,8 FT,ST LIGHT ONLY,1299,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L70,37.33487442,-121.8913909,S MARKET ST & POST ST NEC,S4H-400,STEEL,10 FT OR 12 FT,ST LIGHT ONLY,1300,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L71,37.33502734,-121.8915213,S MARKET ST ES 200' SO W SANTA CLARA ST,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1301,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L72,37.33523504,-121.8916975,S MARKET ST ES 100' SO W SANTA CLARA ST,S4H-400,UNKNOWN,8 FT,UNKNOWN,1302,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L735,37.33434306,-121.8893424,W SAN FERNANDO ST & S 1ST ST NWC,S4H-400,STEEL,13 FT,ST LIGHT & SIGNAL,1303,VTA,Planned,EC9-30M-MV-NW-3-GY-LUCO-PD-WL @ 700mA
11L736,37.33443542,-121.8890988,W SAN FERNANDO ST & S 1ST ST NEC,S4H-400,STEEL,13 FT,ST LIGHT & SIGNAL,1304,VTA,Planned,EC9-30M-MV-NW-3-GY-LUCO-PD-WL @ 700mA
11L74,37.33549026,-121.8913855,LIGHTSON ALLEY ES 60' SO W SANTA CLARA ST,S4H-400,STEEL,OTHER,UNKNOWN,1305,Smart Pole,Planned,
11L745,37.33626277,-121.8906514,N 1ST ST MED & W SANTA CLARA ST NS,S4H-400,UNKNOWN,2 FT,ST LIGHT & SIGNAL,1306,BRT,Pending,
11L75,37.33522517,-121.8911922,LIGHTSON ALLEY ES 120' SO W SANTA CLARA ST,S4H-400,STEEL,OTHER,ST LIGHT ONLY,1307,Smart Pole,Planned,
11L76,37.3349976,-121.8910307,LIGHTSTON ALLEY ES 50' NO POST ST,S4H-400,STEEL,OTHER,ST LIGHT ONLY,1308,Smart Pole,Planned,
12L77,37.33341824,-121.89152,S SAN PEDRO ST & W SAN FERNANDO ST NEC,S4H-400,UNKNOWN,OTHER,UNKNOWN,1309,Cahil to 10th,Completed,EC9-30M-MV-NW-2-GY-LUCO-PD-WL @ 700mA
11L789,37.33485721,-121.8882604,E SAN FERNANDO ST & S 2ND ST NWC,S4H-400,STEEL,8 FT,ST LIGHT & SIGNAL,1310,Maintenance,Completed,EC9-30M-MV-NW-3-GY-LUCO-PD-WL @ 700mA
11L790,37.33494224,-121.8880525,E SAN FERNANDO ST & S 2ND ST NEC,S4H-400,STEEL,8 FT,ST LIGHT & SIGNAL,1311,Maintenance,Completed,EC9-30M-MV-NW-3-GY-LUCO-PD-WL @ 700mA
11M410,37.33612687,-121.8863743,S 4TH ST WS 100' NO E SAN FERNANDO ST,S4H-150,STEEL,8 FT,UNKNOWN,1312,Smart Pole,Planned,
11L919,37.33457474,-121.8883672,E SAN FERNANDO ST 1 OPP 50' EO,S4H-400,UNKNOWN,OTHER,ST LIGHT ONLY,1313,Cahil to 10th,Completed,EC9-30M-MV-NW-2-GY-LUCO-PD-WL @ 700mA
11L921,37.33446799,-121.8886136,E SAN FERNANDO ST 1 OPP,S4H-310,STEEL,OTHER,ST LIGHT ONLY,1314,Cahil to 10th,Completed,EC9-30M-MV-NW-2-GY-LUCO-PD-WL @ 700mA
11L922,37.33437121,-121.8888264,E SAN FERNANDO ST 1 OPP,S4H-310,STEEL,OTHER,ST LIGHT ONLY,1315,Cahil to 10th,Completed,EC9-30M-MV-NW-2-GY-LUCO-PD-WL @ 700mA
12L96,37.33440136,-121.8913874,S MARKET ST & POST ST SWC,S4H-400,STEEL,OTHER,ST LIGHT ONLY,1316,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
12L98,37.33421629,-121.8911822,S MARKET ST 65,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1317,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11LNN34,37.33600302,-121.8903937,S 1ST ST MED @ W SANTA CLARA ST SS,S4H-400,STEEL,30 INCHES,ST LIGHT & SIGNAL,1318,BRT,Pending,
11LNN35,37.33657904,-121.8894397,S 2ND ST MED @ E SANTA CLARA ST,S4H-400,STEEL,30 INCHES,ST LIGHT ONLY,1319,BRT,Pending,
11M100,37.33874944,-121.8796936,S 10TH ST & E SAN FERNANDO ST SWC,S-L-180,GALVANIZED,10 FT OR 12 FT,ST LIGHT & SIGNAL,1320,Cahil to 10th,Completed,EC7-24M-MV-NW-3-GY-LUCO-PD-WL @ 530mA
11M105,37.33736725,-121.883004,E SAN FERNANDO ST & S 7TH ST NWC,S4H-250,UNKNOWN,10 FT OR 12 FT,ST LIGHT & SIGNAL,1321,Cahil to 10th,Completed,EC7-24M-MV-NW-3-GY-LUCO-PD-WL @ 530mA
11M1072,37.33532276,-121.8868336,E SAN FERNANDO ST & S 3RD ST SEC,S4H-400,UNKNOWN,10 FT OR 12 FT,ST LIGHT & SIGNAL,1322,Cahil to 10th,Completed,EC9-30M-MV-NW-3-GY-LUCO-PD-WL @ 700mA
11M113,37.33892143,-121.8798957,E SAN FERNANDO ST & S 10TH ST NWC,S-L-180,GALVANIZED,OTHER,UNKNOWN,1323,Cahil to 10th,Completed,EC7-24M-MV-NW-3-GY-LUCO-PD-WL @ 530mA
11M114,37.33867438,-121.880401,E SAN FERNANDO ST NS 100' EO S 9TH ST,S-L-180,UNKNOWN,OTHER,ST LIGHT ONLY,1324,Cahil to 10th,Completed,EC7-24M-MV-NW-3-GY-LUCO-PD-WL @ 530mA
11M118,37.33608013,-121.8776621,E SAN CARLOS ST & S 10TH ST NWC,S-L-180,STEEL,OTHER,ST LIGHT ONLY,1325,Smart Pole Phase 2,Planned,RFM-108W32LED4K-T-R3M
11M119,37.33600054,-121.8773288,E SAN CARLOS ST & S 10TH ST SEC,S-L-180,UNKNOWN,OTHER,ST LIGHT ONLY,1326,Smart Pole Phase 2,Planned,RFM-108W32LED4K-T-R3M
11M144,37.33472157,-121.8852971,S 4TH ST WS 400' SO E SAN FERNANDO ST,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1327,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11M149,37.33376022,-121.8845879,S 4TH ST & PASEO DE SAN ANTONIO SWC,S4H-310,STEEL,OTHER,ST LIGHT ONLY,1328,Smart Pole Phase 2,Planned,RFL-241W112LED4K-T-R3M
11M150,37.33363493,-121.884491,S 4TH ST WS 50' SO PASEO DE SAN ANTONIO,S4H-310,STEEL,8 FT,ST LIGHT ONLY,1329,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11M151,37.33333242,-121.8842599,S 4TH ST WS 100' NO E SAN CARLOS ST,S4H-310,STEEL,OTHER,ST LIGHT ONLY,1330,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11M173,37.335773,-121.8858205,S 4TH ST ES 50' SO W SAN FERNANDO ST,S4H-310,UNKNOWN,OTHER,ST LIGHT & SIGNAL,1331,Cahil to 10th,Completed,EC9-30M-MV-NW-3-GY-LUCO-PD-WL @ 700mA
11M177,37.33421323,-121.884725,S 4TH ST ES 100' NO PASEO DE ANTONIO,S4H-310,STEEL,8 FT,UNKNOWN,1332,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11M177Y,37.33383118,-121.8843893,S 4TH ST OPP PASEO DE SAN ANTONIO,S4H-310,UNKNOWN,OTHER,UNKNOWN,1333,Smart Pole Phase 2,Planned,RFL-241W112LED4K-T-R3M
11M178,37.3336049,-121.8842027,S 4TH ST ES 150' NO E SAN CARLOS ST,S4H-310,UNKNOWN,OTHER,UNKNOWN,1334,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11M201,37.33452945,-121.8765976,E SAN SALVADOR ST & S 10TH ST NWC,S-L-135,GALVANIZED,OTHER,UNKNOWN,1335,Smart Pole Phase 2,Planned,RFM-108W32LED4K-T-R3M
11M204,37.33317384,-121.8795722,S 7TH ST & E SAN SALVADOR ST NEC,S-L-135,STEEL,8 FT,ST LIGHT & SIGNAL,1336,Hot Spots,Planned,Leotek EC4-14M-MV-NW-3-GY-700-PCR7-CR-WL @ 690mA
11M205,37.33305281,-121.8797805,E SAN SALVADOR ST & S 7TH ST NWC,S-L-135,STEEL,10 FT OR 12 FT,ST LIGHT & SIGNAL,1337,Hot Spots,Planned,Leotek EC4-14M-MV-NW-3-GY-700-PCR7-CR-WL @ 690mA
11M208,37.33683951,-121.88415,E SAN FERNANDO ST NS 25' WO S 6TH ST,S-L-135,STEEL,8 FT,ST LIGHT ONLY,1338,Cahil to 10th,Completed,EC7-24M-MV-NW-2-GY-LUCO-PD-WL @ 530mA
11M233,37.33654165,-121.8780075,S 10TH ST 282 OPP,S-L-135,UNKNOWN,8 FT,ST LIGHT ONLY,1343,Smart Pole Phase 2,Planned,RFM-72W32LED4K-T-R3M
11M236,37.33802197,-121.8811329,E SAN FERNANDO ST 385 OPP,S-L-135,UNKNOWN,8 FT,ST LIGHT ONLY,1344,Cahil to 10th,Completed,EC7-24M-MV-NW-2-GY-LUCO-PD-WL @ 530mA
11M237,37.3378585,-121.8814886,E SAN FERNANDO ST & S 8TH ST SEC,S-L-135,STEEL,OTHER,ST LIGHT ONLY,1345,Cahil to 10th,Completed,EC7-24M-MV-NW-3-GY-LUCO-PD-WL @ 530mA
11M238,37.3375701,-121.8821122,E SAN FERNANDO ST 339 OPP,S-L-135,STEEL,8 FT,ST LIGHT ONLY,1346,Cahil to 10th,Completed,EC7-24M-MV-NW-2-GY-LUCO-PD-WL @ 530mA
11M239,37.33731085,-121.8826062,E SAN FERNANDO ST & S 7TH ST SEC,S4H-250,UNKNOWN,10 FT OR 12 FT,ST LIGHT & SIGNAL,1347,Cahil to 10th,Completed,EC7-24M-MV-NW-3-GY-LUCO-PD-WL @ 530mA
11M240,37.33706374,-121.8830962,E SAN FERNANDO ST 279 OPP,S-L-135,STEEL,8 FT,ST LIGHT ONLY,1348,Cahil to 10th,Completed,EC7-24M-MV-NW-2-GY-LUCO-PD-WL @ 530mA
11M241,37.33686818,-121.8835968,E SAN FERNANDO ST OPP S 6TH ST 50' EO,S-L-135,STEEL,OTHER,ST LIGHT ONLY,1349,Cahil to 10th,Completed,EC7-24M-MV-NW-2-GY-LUCO-PD-WL @ 530mA
