pole_id,latitude,longitude,desc_addr,luminaire,pole_construction,arm_length,pole_use,cmo_obj_id,led_project,led_status,led_type
12837,37.32765267,-121.88625,W WILLIAMS ST 115 OPP,S4H-150,UNKNOWN,POST TOP,ST LIGHT ONLY,31000,,Future,
12867,37.3270518,-121.8881627,ALMADEN AVE 512,S4H-250,UNKNOWN,OTHER,ST LIGHT ONLY,31001,,Future,
12M912,37.32588836,-121.8830609,S 1ST ST WS 75' NO MARGARET ST,S4H-150,STEEL,POST TOP,UNKNOWN,31002,,Future,
12K116,37.32632482,-121.9063189,PARK AVE & SUNOL ST NWC,S-L-90,STEEL,OTHER,ST LIGHT & SIGNAL,31539,,Future,
12K119Y,37.32605855,-121.9060353,PARK AVE 845 OPP,S-L-135,UNKNOWN,8 FT,UNKNOWN,31541,,Future,
12K181J,37.32923806,-121.9119185,RACE ST & YOSEMITE AVE SWC,S-L-135,STANDARD WOOD,4 FT,ST LIGHT ONLY,31571,,Future,
12K182J,37.32865112,-121.9118911,RACE ST OPP W SAN FERNANDO ST,S4H-70,UNKNOWN,6 FT,DISTRIBUTION,31572,,Future,
12K183J,37.32800985,-121.9117884,RACE ST 111,S-L-55,UNKNOWN,30 INCHES,DISTRIBUTION,31573,,Future,
12K215J,37.32700435,-121.9117535,RACE ST 153,S-L-55,UNKNOWN,6 FT,DISTRIBUTION,31596,,Future,
12K217J,37.33292337,-121.9049111,STOCKTON AVE 138 75' NO,S-L-55,STANDARD WOOD,10 FT OR 12 FT,DISTRIBUTION,31597,,Future,
12K219J,37.32722433,-121.9098694,EUGENE AVE 1042,S-L-55,UNKNOWN,10 FT OR 12 FT,DISTRIBUTION,31598,,Future,
12K220J,37.32720479,-121.9106647,EUGENE AVE 1071,S-L-55,UNKNOWN,6 FT,DISTRIBUTION,31599,,Future,
12K221J,37.32792399,-121.9105872,LUTHER AVE 1172,S-L-55,UNKNOWN,6 FT,DISTRIBUTION,31600,,Future,
12K222J,37.32795605,-121.9094493,RAINIER AVE & LUTHER AVE SWC,S-L-90,STANDARD WOOD,10 FT OR 12 FT,DISTRIBUTION,31601,,Future,
12K225J,37.32972056,-121.9098825,S KEEBLE AVE & GARLAND AVE SWC,S-L-55,STANDARD WOOD,4 FT,DISTRIBUTION,31602,,Future,
12K226J,37.32970318,-121.9109026,GARLAND AVE 1036,S-L-55,STANDARD WOOD,OTHER,DISTRIBUTION,31603,,Future,
12K227J,37.32866894,-121.9111243,W SAN FERNANDO ST 1072,S-L-55,STANDARD WOOD,30 INCHES,DISTRIBUTION,31604,,Future,
12K229J,37.32877217,-121.9091117,W SAN FERNANDO ST 1030,S-L-55,UNKNOWN,4 FT,DISTRIBUTION,31605,,Future,
12K230J,37.32933254,-121.9090533,ATLAS AVE 75,S4H-70,UNKNOWN,6 FT,DISTRIBUTION,31606,,Future,
12K231J,37.33019445,-121.9091162,ATLAS AVE 43,S4H-70,UNKNOWN,4 FT,DISTRIBUTION,31607,,Future,
12K232J,37.33048373,-121.9083873,S MORRISON AVE 35,S-L-90,UNKNOWN,OTHER,UNKNOWN,31608,,Future,
12K233J,37.32612426,-121.9073904,PARK AVE 900,S-L-55,STANDARD WOOD,10 FT OR 12 FT,ST LIGHT ONLY,31609,,Future,
12K234J,37.32891602,-121.9082709,W SAN FERNANDO ST 950 OPP,S-L-90,STANDARD WOOD,OTHER,UNKNOWN,31610,,Future,
12K235J,37.32763121,-121.9083364,S MORRISON AVE 152,S-L-90,STANDARD WOOD,6 FT,DISTRIBUTION,31611,,Future,
12K236J,37.3281189,-121.9074541,CLEAVES AVE 121,S-L-90,UNKNOWN,30 INCHES,DISTRIBUTION,31612,,Future,
12K237J,37.3288494,-121.9072739,W SAN FERNANDO ST 884,S-L-90,STANDARD WOOD,OTHER,DISTRIBUTION,31613,,Future,
12K238J,37.33032648,-121.9073169,CLEAVES AVE 52,S-L-90,STANDARD WOOD,6 FT,DISTRIBUTION,31614,,Future,
12K24,37.32633615,-121.9056336,PARK AVE NS 150' EO SUNOL ST,S-L-90,STEEL,8 FT,ST LIGHT ONLY,31615,,Future,
12K242J,37.32624226,-121.9082216,PARK AVE 945,S-L-135,STANDARD WOOD,4 FT,ST LIGHT ONLY,31616,,Future,
12K243J,37.32607124,-121.9092836,PARK AVE OPP RAINIER ST,S-L-55,UNKNOWN,4 FT,ST LIGHT ONLY,31617,,Future,
